ip,common_name,organization,country,locality,province,sandns,sanip,selfsigned
"3.30.4.12","test.eodims.af.mil","U.S. Government","US","","","search.test.eodims.af.mil|weat.test.eodims.af.mil|tearaway.test.eodims.af.mil|training.test.eodims.af.mil|reports.test.eodims.af.mil|mobile.test.eodims.af.mil|kms.test.eodims.af.mil|geoblast.test.eodims.af.mil|maps.test.eodims.af.mil|analytics.test.eodims.af.mil|jst.test.eodims.af.mil|email.test.eodims.af.mil|interfaces.test.eodims.af.mil|gateway.test.eodims.af.mil|core.test.eodims.af.mil|test.eodims.af.mil","","false"
"3.30.6.143","*.odin.dso.mil","USAF","US","Rome","New York","*.odin.dso.mil|odin.dso.mil|*.admin.odin.dso.mil|*.npe.odin.dso.mil","","false"
"3.30.10.121","*.odin.dso.mil","USAF","US","Rome","New York","*.odin.dso.mil|odin.dso.mil|*.admin.odin.dso.mil|*.npe.odin.dso.mil","","false"
"3.30.13.119","*.highbond.mil","","","","","*.highbond.mil|highbond.mil","","false"
"3.30.16.243","*.crowdstrike.mil","CrowdStrike, Inc.","US","Sunnyvale","California","*.crowdstrike.mil|crowdstrike.mil|*.us-gov-2.crowdstrike.mil|*.falcon.us-gov-2.crowdstrike.mil|*.cloudsink.crowdstrike.mil|us-gov-2.crowdstrike.mil|falcon.us-gov-2.crowdstrike.mil|cloudsink.crowdstrike.mil","","false"
"3.30.26.79","*.odin.dso.mil","USAF","US","Rome","New York","*.odin.dso.mil|odin.dso.mil|*.admin.odin.dso.mil|*.npe.odin.dso.mil","","false"
"3.30.27.162","nasic.af.mil","U.S. Government","US","","","*.midgard.nasic.af.mil|*.nasic.af.mil|nasic.af.mil","","false"
"3.30.32.160","ops.afweather.mil","Solid State Scientific Corp.","US","Nashua","New Hampshire","ops.afweather.mil|*.ops.afweather.mil","","false"
"3.30.33.112","*.odin.dso.mil","USAF","US","Rome","New York","*.odin.dso.mil|odin.dso.mil|*.admin.odin.dso.mil|*.npe.odin.dso.mil","","false"
"3.30.36.122","militaryonesource.mil","DASD for Military Community and Family Policy","US","Alexandria","Virginia","mos.mil|www.mos.mil|militaryonesource.mil|www.militaryonesource.mil|amac.militaryonesource.mil|ecms.militaryonesource.mil|tribute.militaryonesource.mil|download.militaryonesource.mil|ecms-svc.militaryonesource.mil|blog-brigade.militaryonesource.mil|demographics.militaryonesource.mil|collaboration.militaryonesource.mil|supportrequest.militaryonesource.mil|planmydeployment.militaryonesource.mil","","false"
"3.30.42.64","nasic.af.mil","U.S. Government","US","","","*.midgard.nasic.af.mil|*.nasic.af.mil|nasic.af.mil","","false"
"3.30.45.110","chatsurfer.nro.mil","U.S. Government","US","","","chatsurfer.test.nro.mil|chatsurfer.nro.mil","","false"
"3.30.50.230","*.odin.dso.mil","USAF","US","Rome","New York","*.odin.dso.mil|odin.dso.mil|*.admin.odin.dso.mil|*.npe.odin.dso.mil","","false"
"3.30.52.12","*.crowdstrike.mil","CrowdStrike, Inc.","US","Sunnyvale","California","*.crowdstrike.mil|crowdstrike.mil|*.us-gov-2.crowdstrike.mil|*.falcon.us-gov-2.crowdstrike.mil|*.cloudsink.crowdstrike.mil|us-gov-2.crowdstrike.mil|falcon.us-gov-2.crowdstrike.mil|cloudsink.crowdstrike.mil","","false"
"3.30.56.52","testtableau.cloud.dcsa.mil","U.S. Government","US","","","testtableau.cloud.dcsa.mil","","false"
"3.30.57.45","apps.cdl.af.mil","U.S. Government","US","","","*.apps.cdl.af.mil|apps.cdl.af.mil","","false"
"3.30.68.166","*.opalacceptance.dso.mil","Hill Air Force Base","US","Hill Afb","Utah","*.opalacceptance.dso.mil","","false"
"3.30.72.128","mre-dev.nasic.af.mil","U.S. Government","US","","","mre-dev.nasic.af.mil|storehouse-dev.nasic.af.mil|watchdog-dev.nasic.af.mil|sweeper-ess-dev.nasic.af.mil|sweeper-mc1-dev.nasic.af.mil|sweeper-mcg-dev.nasic.af.mil|eloc-ess-dev.nasic.af.mil|eloc-mc1-dev.nasic.af.mil|eloc-mcg-dev.nasic.af.mil|ups-dev.nasic.af.mil|watson-dev.nasic.af.mil|cerberus-dev.nasic.af.mil|locker-dev.nasic.af.mil|depot-dev.nasic.af.mil|nots-dev.nasic.af.mil|sso-dev.nasic.af.mil","","false"
"3.30.79.194","mre-dev.nasic.af.mil","U.S. Government","US","","","mre-dev.nasic.af.mil|storehouse-dev.nasic.af.mil|watchdog-dev.nasic.af.mil|sweeper-ess-dev.nasic.af.mil|sweeper-mc1-dev.nasic.af.mil|sweeper-mcg-dev.nasic.af.mil|eloc-ess-dev.nasic.af.mil|eloc-mc1-dev.nasic.af.mil|eloc-mcg-dev.nasic.af.mil|ups-dev.nasic.af.mil|watson-dev.nasic.af.mil|cerberus-dev.nasic.af.mil|locker-dev.nasic.af.mil|depot-dev.nasic.af.mil|nots-dev.nasic.af.mil|sso-dev.nasic.af.mil","","false"
"3.30.93.8","*.odin.dso.mil","USAF","US","Rome","New York","*.odin.dso.mil|odin.dso.mil|*.admin.odin.dso.mil|*.npe.odin.dso.mil","","false"
"3.30.93.177","*.highbond.mil","","","","","*.highbond.mil|highbond.mil","","false"
"3.30.103.99","*.odin.dso.mil","USAF","US","Rome","New York","*.odin.dso.mil|odin.dso.mil|*.admin.odin.dso.mil|*.npe.odin.dso.mil","","false"
"3.30.127.192","sso.gdt.cprobe.army.mil","U.S. Government","US","","","sso.gdt.cprobe.army.mil|tableau.sso.gdt.cprobe.army.mil|ndev.sso.gdt.cprobe.army.mil|sdev.sso.gdt.cprobe.army.mil|ntst.sso.gdt.cprobe.army.mil|stst.sso.gdt.cprobe.army.mil|edsc.sso.gdt.cprobe.army.mil|armyps.sso.gdt.cprobe.army.mil|ea.sso.gdt.cprobe.army.mil|jicap.sso.gdt.cprobe.army.mil|dl3.sso.gdt.cprobe.army.mil|dlx.sso.gdt.cprobe.army.mil|rsw.sso.gdt.cprobe.army.mil|rsc.sso.gdt.cprobe.army.mil|rsc-t.sso.gdt.cprobe.army.mil|rspm.sso.gdt.cprobe.army.mil|certauth.sso.gdt.cprobe.army.mil|remote.sso.gdt.cprobe.army.mil","","false"
"3.30.128.133","*.wkc.ddc.disa.mil","","","","","*.wkc.ddc.disa.mil","","false"
"3.30.128.219","mission-test.odin.dso.mil","U.S. Government","US","","","*.admin.mission-test.odin.dso.mil|*.mission-test.odin.dso.mil|mission-test.odin.dso.mil","","false"
